Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
H,Hidrogenio,1,1,1,Gas
He,Helio,2,1,18,Gas
Li,Litio,3,2,1,Solido
Be,Berilio,4,2,2,Solido
B,Boro,5,2,13,Solido
C,Carbono,6,2,14,Solido
N,Nitrogenio,7,2,15,Gas
O,Oxigenio,8,2,16,Gas
F,Fluor,9,2,17,Gas
Ne,Neonio,10,2,18,Gas
Na,Sodio,11,3,1,Solido
Mg,Magnesio,12,3,2,Solido
Al,Aluminio,13,3,13,Solido
Si,Silicio,14,3,14,Solido
P,Fosforo,15,3,15,Solido
S,Enxofre,16,3,16,Solido
Cl,Cloro,17,3,17,Gas
Ar,Argonio,18,3,18,Gas
K,Potassio,19,4,1,Solido
Ca,Calcio,20,4,2,Solido
Sc,Escandio,21,4,1,Solido
Ti,Titanio,22,4,2,Solido
V,Vanadio,23,4,3,Solido
Cr,Cromo,24,4,4,Solido
Mn,Manganes,25,4,5,Solido
Fe,Ferro,26,4,6,Solido
Co,Cobalto,27,4,7,Solido
Ni,Niquel,28,4,8,Solido
Cu,Cobre,29,4,9,Solido
Zn,Zinco,30,4,10,Solido
Ga,Galio,31,4,13,Solido
Ge,Germanio,32,4,14,Solido
As,Arsenio,33,4,15,Solido
Se,Selenio,34,4,16,Solido
Br,Bromo,35,4,17,Liquid
Kr,Criptonio,36,4,18,Gas
Rb,Rubidio,37,5,1,Solido
Sr,Estroncio,38,5,2,Solido
Y,Itrio,39,5,1,Solido
Zr,Zirconio,40,5,2,Solido
Nb,Niobio,41,5,3,Solido
Mo,Molibdenio,42,5,4,Solido
Tc,Tecnecio,43,5,5,Solido
Ru,Rutenio,44,5,6,Solido
Rh,Rodio,45,5,7,Solido
Pd,Paladio,46,5,8,Solido
Ag,Prata,47,5,9,Solido
Cd,Cadmio,48,5,10,Solido
In,Indio,49,5,13,Solido
Sn,Estanho,50,5,14,Solido
Sb,Antimonio,51,5,15,Solido
Te,Telurio,52,5,16,Solido
I,Iodo,53,5,17,Solido
Xe,Xenonio,54,5,18,Gas
Cs,Cesio,55,6,1,Solido
Ba,Bario,56,6,2,Solido
La,Lantanio,57,6,4,Solido
Ce,Cerio,58,6,5,Solido
Pr,Praseodimio,59,6,6,Solido
Nd,Neodimio,60,6,7,Solido
Pm,Promecio,61,6,8,Solido
Sm,Samario,62,6,9,Solido
Eu,Europio,63,6,10,Solido
Gd,Gadolinio,64,6,11,Solido
Tb,Terbio,65,6,12,Solido
Dy,Disprosio,66,6,13,Solido
Ho,Holmio,67,6,14,Solido
Er,Erbio,68,6,15,Solido
Tm,Tulio,69,6,16,Solido
Yb,Iterbio,70,6,17,Solido
Lu,Lutecio,71,6,1,Solido
Hf,Hafnio,72,6,2,Solido
Ta,Tantalo,73,6,3,Solido
W,Tungstenio,74,6,4,Solido
Re,Renio,75,6,5,Solido
Os,Osmio,76,6,6,Solido
Ir,Iridio,77,6,7,Solido
Pt,Platina,78,6,8,Solido
Au,Ouro,79,6,9,Solido
Hg,Mercurio,80,6,10,Liquid
Tl,Talio,81,6,13,Solido
Pb,Chumbo,82,6,14,Solido
Bi,Bismuto,83,6,15,Solido
Po,Polonio,84,6,16,Solido
At,Astato,85,6,17,Solido
Rn,Radon,86,6,18,Gas
Fr,Francio,87,7,1,Solido
Ra,Radio,88,7,2,Solido
Ac,Actinio,89,7,4,Solido
Th,Torio,90,7,5,Solido
Pa,Protactinio,91,7,6,Solido
U,Uranio,92,7,7,Solido
Np,Neptunio,93,7,8,Solido
Pu,Plutonio,94,7,9,Solido
Am,Americio,95,7,10,Solido
Cm,Curio,96,7,11,Solido
Bk,Berquelio,97,7,12,Solido
Cf,Californio,98,7,13,Solido
Es,Einstenio,99,7,14,Solido
Fm,Fermio,100,7,15,Solido
Md,Mendelevio,101,7,16,Solido
No,Nobelio,102,7,17,Solido
Lr,Laurencio,103,7,18,Solido
Mt,Rutherfordio,109,7,7,Desconhecido
Ds,Darmstacio,110,7,8,Desconhecido
Rg,Roentgenio,111,7,9,Desconhecido
Cn,Copernicio,112,7,10,Desconhecido
Nh,Niponio,113,7,13,Desconhecido
Fl,Flerovio,114,7,14,Desconhecido
Mc,Moscovio,115,7,15,Desconhecido
Lv,Livermorio,116,7,16,Desconhecido
Ts,Tenesso,117,7,17,Desconhecido
Og,Oganesson,118,7,18,Desconhecido
